Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Alabama,1,2013,2013,Female,F,71,2488375,2.9
,Alabama,1,2013,2013,Male,M,122,2345347,5.2
Total,Alabama,1,2013,2013,,,193,4833722,4
,Alabama,1,2014,2014,Female,F,118,2499410,4.7
,Alabama,1,2014,2014,Male,M,183,2349967,7.8
Total,Alabama,1,2014,2014,,,301,4849377,6.2
,Alabama,1,2015,2015,Female,F,115,2505795,4.6
,Alabama,1,2015,2015,Male,M,217,2353184,9.2
Total,Alabama,1,2015,2015,,,332,4858979,6.8
,Alabama,1,2016,2016,Female,F,138,2507714,5.5
,Alabama,1,2016,2016,Male,M,271,2355586,11.5
Total,Alabama,1,2016,2016,,,409,4863300,8.4
,Alabama,1,2017,2017,Female,F,168,2514911,6.7
,Alabama,1,2017,2017,Male,M,351,2359836,14.9
Total,Alabama,1,2017,2017,,,519,4874747,10.6
,Alabama,1,2018,2018,Female,F,167,2523756,6.6
,Alabama,1,2018,2018,Male,M,341,2364115,14.4
Total,Alabama,1,2018,2018,,,508,4887871,10.4
,Alabama,1,2019,2019,Female,F,199,2533668,7.9
,Alabama,1,2019,2019,Male,M,377,2369517,15.9
Total,Alabama,1,2019,2019,,,576,4903185,11.7
,Alabama,1,2020,2020,Female,F,246,2544566,9.7
,Alabama,1,2020,2020,Male,M,564,2376966,23.7
Total,Alabama,1,2020,2020,,,810,4921532,16.5
Total,Alabama,1,,,,,3648,38992713,9.4
,Alaska,2,2013,2013,Female,F,25,349564,7.2
,Alaska,2,2013,2013,Male,M,59,385568,15.3
Total,Alaska,2,2013,2013,,,84,735132,11.4
,Alaska,2,2014,2014,Female,F,40,349436,11.4
,Alaska,2,2014,2014,Male,M,59,387296,15.2
Total,Alaska,2,2014,2014,,,99,736732,13.4
,Alaska,2,2015,2015,Female,F,36,349407,10.3
,Alaska,2,2015,2015,Male,M,66,389025,17
Total,Alaska,2,2015,2015,,,102,738432,13.8
,Alaska,2,2016,2016,Female,F,37,353762,10.5
,Alaska,2,2016,2016,Male,M,80,388132,20.6
Total,Alaska,2,2016,2016,,,117,741894,15.8
,Alaska,2,2017,2017,Female,F,52,353003,14.7
,Alaska,2,2017,2017,Male,M,79,386792,20.4
Total,Alaska,2,2017,2017,,,131,739795,17.7
,Alaska,2,2018,2018,Female,F,41,352865,11.6
,Alaska,2,2018,2018,Male,M,56,384573,14.6
Total,Alaska,2,2018,2018,,,97,737438,13.2
,Alaska,2,2019,2019,Female,F,27,350127,7.7
,Alaska,2,2019,2019,Male,M,81,381418,21.2
Total,Alaska,2,2019,2019,,,108,731545,14.8
,Alaska,2,2020,2020,Female,F,49,349621,14
,Alaska,2,2020,2020,Male,M,94,381537,24.6
Total,Alaska,2,2020,2020,,,143,731158,19.6
Total,Alaska,2,,,,,881,5892126,15
,Arizona,4,2013,2013,Female,F,248,3331505,7.4
,Arizona,4,2013,2013,Male,M,433,3295119,13.1
Total,Arizona,4,2013,2013,,,681,6626624,10.3
,Arizona,4,2014,2014,Female,F,256,3387637,7.6
,Arizona,4,2014,2014,Male,M,504,3343847,15.1
Total,Arizona,4,2014,2014,,,760,6731484,11.3
,Arizona,4,2015,2015,Female,F,325,3436575,9.5
,Arizona,4,2015,2015,Male,M,575,3391490,17
Total,Arizona,4,2015,2015,,,900,6828065,13.2
,Arizona,4,2016,2016,Female,F,345,3488176,9.9
,Arizona,4,2016,2016,Male,M,715,3442895,20.8
Total,Arizona,4,2016,2016,,,1060,6931071,15.3
,Arizona,4,2017,2017,Female,F,394,3527969,11.2
,Arizona,4,2017,2017,Male,M,905,3488301,25.9
Total,Arizona,4,2017,2017,,,1299,7016270,18.5
,Arizona,4,2018,2018,Female,F,412,3606307,11.4
