"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	28	2488375	1.1
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	41	2499410	1.6
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	43	2505795	1.7
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	48	2507714	1.9
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	59	2514911	2.3
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	53	2523756	2.1
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	71	2533668	2.8
	"Alabama"	"01"	"Female"	"F"	"2020 "	"2020"	49	2544566	1.9
	"Alabama"	"01"	"Male"	"M"	"2013"	"2013"	37	2345347	1.6
	"Alabama"	"01"	"Male"	"M"	"2014"	"2014"	49	2349967	2.1
	"Alabama"	"01"	"Male"	"M"	"2015"	"2015"	44	2353184	1.9
	"Alabama"	"01"	"Male"	"M"	"2016"	"2016"	46	2355586	2.0
	"Alabama"	"01"	"Male"	"M"	"2017"	"2017"	82	2359836	3.5
	"Alabama"	"01"	"Male"	"M"	"2018"	"2018"	73	2364115	3.1
	"Alabama"	"01"	"Male"	"M"	"2019"	"2019"	64	2369517	2.7
	"Alabama"	"01"	"Male"	"M"	"2020 "	"2020"	73	2376966	3.1
	"Alaska"	"02"	"Female"	"F"	"2013"	"2013"	11	349564	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2014"	"2014"	22	349436	6.3
	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	20	349407	5.7
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	18	353762	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	23	353003	6.5
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	20	352865	5.7
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	12	350127	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2020 "	"2020"	16	349621	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2013"	"2013"	27	385568	7.0
	"Alaska"	"02"	"Male"	"M"	"2014"	"2014"	18	387296	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2015"	"2015"	31	389025	8.0
	"Alaska"	"02"	"Male"	"M"	"2016"	"2016"	27	388132	7.0
	"Alaska"	"02"	"Male"	"M"	"2017"	"2017"	24	386792	6.2
	"Alaska"	"02"	"Male"	"M"	"2018"	"2018"	14	384573	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2019"	"2019"	30	381418	7.9
	"Alaska"	"02"	"Male"	"M"	"2020 "	"2020"	22	381537	5.8
	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	124	3331505	3.7
	"Arizona"	"04"	"Female"	"F"	"2014"	"2014"	140	3387637	4.1
	"Arizona"	"04"	"Female"	"F"	"2015"	"2015"	151	3436575	4.4
	"Arizona"	"04"	"Female"	"F"	"2016"	"2016"	153	3488176	4.4
	"Arizona"	"04"	"Female"	"F"	"2017"	"2017"	157	3527969	4.5
	"Arizona"	"04"	"Female"	"F"	"2018"	"2018"	140	3606307	3.9
	"Arizona"	"04"	"Female"	"F"	"2019"	"2019"	128	3661420	3.5
	"Arizona"	"04"	"Female"	"F"	"2020 "	"2020"	129	3735475	3.5
	"Arizona"	"04"	"Male"	"M"	"2013"	"2013"	129	3295119	3.9
