"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2013"	"2013"	137	4833722	2.8
	"Alabama"	"01"	"2014"	"2014"	239	4849377	4.9
	"Alabama"	"01"	"2015"	"2015"	268	4858979	5.5
	"Alabama"	"01"	"2016"	"2016"	345	4863300	7.1
	"Alabama"	"01"	"2017"	"2017"	444	4874747	9.1
	"Alabama"	"01"	"2018"	"2018"	435	4887871	8.9
	"Alabama"	"01"	"2019"	"2019"	525	4903185	10.7
	"Alabama"	"01"	"2020 "	"2020"	714	4921532	14.5
	"Alaska"	"02"	"2013"	"2013"	71	735132	9.7
	"Alaska"	"02"	"2014"	"2014"	83	736732	11.3
	"Alaska"	"02"	"2015"	"2015"	89	738432	12.1
	"Alaska"	"02"	"2016"	"2016"	111	741894	15.0
	"Alaska"	"02"	"2017"	"2017"	120	739795	16.2
	"Alaska"	"02"	"2018"	"2018"	86	737438	11.7
	"Alaska"	"02"	"2019"	"2019"	102	731545	13.9
	"Alaska"	"02"	"2020 "	"2020"	135	731158	18.5
	"Arizona"	"04"	"2013"	"2013"	570	6626624	8.6
	"Arizona"	"04"	"2014"	"2014"	669	6731484	9.9
	"Arizona"	"04"	"2015"	"2015"	794	6828065	11.6
	"Arizona"	"04"	"2016"	"2016"	950	6931071	13.7
	"Arizona"	"04"	"2017"	"2017"	1170	7016270	16.7
	"Arizona"	"04"	"2018"	"2018"	1343	7171646	18.7
	"Arizona"	"04"	"2019"	"2019"	1586	7278717	21.8
	"Arizona"	"04"	"2020 "	"2020"	2289	7421401	30.8
	"Arkansas"	"05"	"2013"	"2013"	163	2959373	5.5
	"Arkansas"	"05"	"2014"	"2014"	186	2966369	6.3
	"Arkansas"	"05"	"2015"	"2015"	222	2978204	7.5
	"Arkansas"	"05"	"2016"	"2016"	195	2988248	6.5
	"Arkansas"	"05"	"2017"	"2017"	235	3004279	7.8
	"Arkansas"	"05"	"2018"	"2018"	270	3013825	9.0
	"Arkansas"	"05"	"2019"	"2019"	268	3017804	8.9
	"Arkansas"	"05"	"2020 "	"2020"	397	3030522	13.1
	"California"	"06"	"2013"	"2013"	2337	38332521	6.1
	"California"	"06"	"2014"	"2014"	2496	38802500	6.4
	"California"	"06"	"2015"	"2015"	2779	39144818	7.1
	"California"	"06"	"2016"	"2016"	2860	39250017	7.3
	"California"	"06"	"2017"	"2017"	3293	39536653	8.3
	"California"	"06"	"2018"	"2018"	3843	39557045	9.7
	"California"	"06"	"2019"	"2019"	4808	39512223	12.2
	"California"	"06"	"2020 "	"2020"	7539	39368078	19.2
	"Colorado"	"08"	"2013"	"2013"	445	5268367	8.4
	"Colorado"	"08"	"2014"	"2014"	519	5355866	9.7
	"Colorado"	"08"	"2015"	"2015"	533	5456574	9.8
	"Colorado"	"08"	"2016"	"2016"	587	5540545	10.6
	"Colorado"	"08"	"2017"	"2017"	696	5607154	12.4
	"Colorado"	"08"	"2018"	"2018"	700	5695564	12.3
	"Colorado"	"08"	"2019"	"2019"	796	5758736	13.8
	"Colorado"	"08"	"2020 "	"2020"	1162	5807719	20.0
	"Connecticut"	"09"	"2013"	"2013"	391	3596080	10.9
	"Connecticut"	"09"	"2014"	"2014"	481	3596677	13.4
	"Connecticut"	"09"	"2015"	"2015"	633	3590886	17.6
	"Connecticut"	"09"	"2016"	"2016"	818	3576452	22.9
	"Connecticut"	"09"	"2017"	"2017"	908	3588184	25.3
	"Connecticut"	"09"	"2018"	"2018"	935	3572665	26.2
	"Connecticut"	"09"	"2019"	"2019"	1089	3565287	30.5
	"Connecticut"	"09"	"2020 "	"2020"	1222	3557006	34.4
	"Delaware"	"10"	"2013"	"2013"	91	925749	9.8
	"Delaware"	"10"	"2014"	"2014"	103	935614	11.0
	"Delaware"	"10"	"2015"	"2015"	121	945934	12.8
	"Delaware"	"10"	"2016"	"2016"	139	952065	14.6
	"Delaware"	"10"	"2017"	"2017"	233	961939	24.2
	"Delaware"	"10"	"2018"	"2018"	336	967171	34.7
	"Delaware"	"10"	"2019"	"2019"	380	973764	39.0
	"Delaware"	"10"	"2020 "	"2020"	392	986809	39.7
	"District of Columbia"	"11"	"2013"	"2013"	48	646449	7.4
	"District of Columbia"	"11"	"2014"	"2014"	57	658893	8.7
	"District of Columbia"	"11"	"2015"	"2015"	95	672228	14.1
	"District of Columbia"	"11"	"2016"	"2016"	206	681170	30.2
	"District of Columbia"	"11"	"2017"	"2017"	230	693972	33.1
	"District of Columbia"	"11"	"2018"	"2018"	192	702455	27.3
	"District of Columbia"	"11"	"2019"	"2019"	244	705749	34.6
	"District of Columbia"	"11"	"2020 "	"2020"	329	712816	46.2
	"Florida"	"12"	"2013"	"2013"	1101	19552860	5.6
	"Florida"	"12"	"2014"	"2014"	1265	19893297	6.4
	"Florida"	"12"	"2015"	"2015"	1744	20271272	8.6
	"Florida"	"12"	"2016"	"2016"	2749	20612439	13.3
	"Florida"	"12"	"2017"	"2017"	3250	20984400	15.5
	"Florida"	"12"	"2018"	"2018"	3254	21299325	15.3
	"Florida"	"12"	"2019"	"2019"	3955	21477737	18.4
	"Florida"	"12"	"2020 "	"2020"	5715	21733312	26.3
	"Georgia"	"13"	"2013"	"2013"	504	9992167	5.0
	"Georgia"	"13"	"2014"	"2014"	686	10097343	6.8
	"Georgia"	"13"	"2015"	"2015"	893	10214860	8.7
	"Georgia"	"13"	"2016"	"2016"	948	10310371	9.2
	"Georgia"	"13"	"2017"	"2017"	1137	10429379	10.9
	"Georgia"	"13"	"2018"	"2018"	1016	10519475	9.7
	"Georgia"	"13"	"2019"	"2019"	1061	10617423	10.0
	"Georgia"	"13"	"2020 "	"2020"	1505	10710017	14.1
	"Hawaii"	"15"	"2013"	"2013"	100	1404054	7.1
	"Hawaii"	"15"	"2014"	"2014"	98	1419561	6.9
	"Hawaii"	"15"	"2015"	"2015"	124	1431603	8.7
	"Hawaii"	"15"	"2016"	"2016"	153	1428557	10.7
	"Hawaii"	"15"	"2017"	"2017"	141	1427538	9.9
	"Hawaii"	"15"	"2018"	"2018"	176	1420491	12.4
	"Hawaii"	"15"	"2019"	"2019"	200	1415872	14.1
	"Hawaii"	"15"	"2020 "	"2020"	238	1407006	16.9
	"Idaho"	"16"	"2013"	"2013"	84	1612136	5.2
	"Idaho"	"16"	"2014"	"2014"	83	1634464	5.1
	"Idaho"	"16"	"2015"	"2015"	110	1654930	6.6
	"Idaho"	"16"	"2016"	"2016"	139	1683140	8.3
	"Idaho"	"16"	"2017"	"2017"	121	1716943	7.0
	"Idaho"	"16"	"2018"	"2018"	157	1754208	8.9
	"Idaho"	"16"	"2019"	"2019"	181	1787065	10.1
