"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2013"	"2013"	30	4833722	0.6
	"Alabama"	"01"	"2014"	"2014"	47	4849377	1.0
	"Alabama"	"01"	"2015"	"2015"	70	4858979	1.4
	"Alabama"	"01"	"2016"	"2016"	157	4863300	3.2
	"Alabama"	"01"	"2017"	"2017"	198	4874747	4.1
	"Alabama"	"01"	"2018"	"2018"	147	4887871	3.0
	"Alabama"	"01"	"2019"	"2019"	213	4903185	4.3
	"Alabama"	"01"	"2020 "	"2020"	442	4921532	9.0
	"Alaska"	"02"	"2013"	"2013"	12	735132	Unreliable
	"Alaska"	"02"	"2014"	"2014"	14	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	14	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	Suppressed	741894	Suppressed
	"Alaska"	"02"	"2017"	"2017"	37	739795	5.0
	"Alaska"	"02"	"2018"	"2018"	18	737438	Unreliable
	"Alaska"	"02"	"2019"	"2019"	24	731545	3.3
	"Alaska"	"02"	"2020 "	"2020"	69	731158	9.4
	"Arizona"	"04"	"2013"	"2013"	52	6626624	0.8
	"Arizona"	"04"	"2014"	"2014"	57	6731484	0.8
	"Arizona"	"04"	"2015"	"2015"	72	6828065	1.1
	"Arizona"	"04"	"2016"	"2016"	123	6931071	1.8
	"Arizona"	"04"	"2017"	"2017"	267	7016270	3.8
	"Arizona"	"04"	"2018"	"2018"	522	7171646	7.3
	"Arizona"	"04"	"2019"	"2019"	796	7278717	10.9
	"Arizona"	"04"	"2020 "	"2020"	1476	7421401	19.9
	"Arkansas"	"05"	"2013"	"2013"	31	2959373	1.0
	"Arkansas"	"05"	"2014"	"2014"	32	2966369	1.1
	"Arkansas"	"05"	"2015"	"2015"	44	2978204	1.5
	"Arkansas"	"05"	"2016"	"2016"	38	2988248	1.3
	"Arkansas"	"05"	"2017"	"2017"	68	3004279	2.3
	"Arkansas"	"05"	"2018"	"2018"	92	3013825	3.1
	"Arkansas"	"05"	"2019"	"2019"	115	3017804	3.8
	"Arkansas"	"05"	"2020 "	"2020"	195	3030522	6.4
	"California"	"06"	"2013"	"2013"	176	38332521	0.5
	"California"	"06"	"2014"	"2014"	194	38802500	0.5
	"California"	"06"	"2015"	"2015"	229	39144818	0.6
	"California"	"06"	"2016"	"2016"	355	39250017	0.9
	"California"	"06"	"2017"	"2017"	536	39536653	1.4
	"California"	"06"	"2018"	"2018"	865	39557045	2.2
	"California"	"06"	"2019"	"2019"	1675	39512223	4.2
	"California"	"06"	"2020 "	"2020"	4009	39368078	10.2
	"Colorado"	"08"	"2013"	"2013"	67	5268367	1.3
	"Colorado"	"08"	"2014"	"2014"	80	5355866	1.5
	"Colorado"	"08"	"2015"	"2015"	64	5456574	1.2
	"Colorado"	"08"	"2016"	"2016"	72	5540545	1.3
	"Colorado"	"08"	"2017"	"2017"	112	5607154	2.0
	"Colorado"	"08"	"2018"	"2018"	134	5695564	2.4
	"Colorado"	"08"	"2019"	"2019"	255	5758736	4.4
	"Colorado"	"08"	"2020 "	"2020"	590	5807719	10.2
	"Connecticut"	"09"	"2013"	"2013"	53	3596080	1.5
	"Connecticut"	"09"	"2014"	"2014"	94	3596677	2.6
	"Connecticut"	"09"	"2015"	"2015"	211	3590886	5.9
	"Connecticut"	"09"	"2016"	"2016"	500	3576452	14.0
	"Connecticut"	"09"	"2017"	"2017"	686	3588184	19.1
	"Connecticut"	"09"	"2018"	"2018"	767	3572665	21.5
	"Connecticut"	"09"	"2019"	"2019"	950	3565287	26.6
