Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Alabama,1,2013,2013,Female,F,Suppressed,2488375,Suppressed
,Alabama,1,2013,2013,Male,M,32,2345347,1.4
,Alabama,1,2014,2014,Female,F,46,2499410,1.8
,Alabama,1,2014,2014,Male,M,76,2349967,3.2
,Alabama,1,2015,2015,Female,F,24,2505795,1
,Alabama,1,2015,2015,Male,M,87,2353184,3.7
,Alabama,1,2016,2016,Female,F,30,2507714,1.2
,Alabama,1,2016,2016,Male,M,96,2355586,4.1
,Alabama,1,2017,2017,Female,F,32,2514911,1.3
,Alabama,1,2017,2017,Male,M,93,2359836,3.9
,Alabama,1,2018,2018,Female,F,29,2523756,1.1
,Alabama,1,2018,2018,Male,M,108,2364115,4.6
,Alabama,1,2019,2019,Female,F,36,2533668,1.4
,Alabama,1,2019,2019,Male,M,105,2369517,4.4
,Alabama,1,2020,2020,Female,F,41,2544566,1.6
,Alabama,1,2020,2020,Male,M,97,2376966,4.1
,Alaska,2,2013,2013,Female,F,Suppressed,349564,Suppressed
,Alaska,2,2013,2013,Male,M,20,385568,5.2
,Alaska,2,2014,2014,Female,F,Suppressed,349436,Suppressed
,Alaska,2,2014,2014,Male,M,19,387296,Unreliable
,Alaska,2,2015,2015,Female,F,11,349407,Unreliable
,Alaska,2,2015,2015,Male,M,26,389025,6.7
,Alaska,2,2016,2016,Female,F,10,353762,Unreliable
,Alaska,2,2016,2016,Male,M,39,388132,10
,Alaska,2,2017,2017,Female,F,17,353003,Unreliable
,Alaska,2,2017,2017,Male,M,19,386792,Unreliable
,Alaska,2,2018,2018,Female,F,Suppressed,352865,Suppressed
,Alaska,2,2018,2018,Male,M,21,384573,5.5
,Alaska,2,2019,2019,Female,F,Suppressed,350127,Suppressed
,Alaska,2,2019,2019,Male,M,37,381418,9.7
,Alaska,2,2020,2020,Female,F,10,349621,Unreliable
,Alaska,2,2020,2020,Male,M,25,381537,6.6
,Arizona,4,2013,2013,Female,F,26,3331505,0.8
,Arizona,4,2013,2013,Male,M,120,3295119,3.6
,Arizona,4,2014,2014,Female,F,34,3387637,1
,Arizona,4,2014,2014,Male,M,163,3343847,4.9
,Arizona,4,2015,2015,Female,F,67,3436575,1.9
,Arizona,4,2015,2015,Male,M,180,3391490,5.3
,Arizona,4,2016,2016,Female,F,66,3488176,1.9
,Arizona,4,2016,2016,Male,M,233,3442895,6.8
,Arizona,4,2017,2017,Female,F,78,3527969,2.2
,Arizona,4,2017,2017,Male,M,256,3488301,7.3
,Arizona,4,2018,2018,Female,F,71,3606307,2
,Arizona,4,2018,2018,Male,M,281,3565339,7.9
,Arizona,4,2019,2019,Female,F,53,3661420,1.4
,Arizona,4,2019,2019,Male,M,218,3617297,6
,Arizona,4,2020,2020,Female,F,54,3735475,1.4
,Arizona,4,2020,2020,Male,M,163,3685926,4.4
,Arkansas,5,2013,2013,Female,F,Suppressed,Suppressed,Unreliable
,Arkansas,5,2013,2013,Male,M,Suppressed,1453591,Suppressed
,Arkansas,5,2014,2014,Female,F,Suppressed,1509053,Suppressed
,Arkansas,5,2014,2014,Male,M,Suppressed,1457316,Suppressed
,Arkansas,5,2015,2015,Female,F,Suppressed,1515348,Suppressed
,Arkansas,5,2015,2015,Male,M,Suppressed,1462856,Suppressed
,Arkansas,5,2016,2016,Female,F,Suppressed,1520375,Suppressed
,Arkansas,5,2016,2016,Male,M,12,1467873,Unreliable
,Arkansas,5,2017,2017,Female,F,Suppressed,1528215,Suppressed
,Arkansas,5,2017,2017,Male,M,12,1476064,Unreliable
,Arkansas,5,2018,2018,Female,F,Suppressed,1533682,Suppressed
,Arkansas,5,2018,2018,Male,M,12,1480143,Unreliable
,Arkansas,5,2019,2019,Female,F,Suppressed,1536188,Suppressed
,Arkansas,5,2019,2019,Male,M,28,1481616,1.9
,Arkansas,5,2020,2020,Female,F,10,1543666,Unreliable
,Arkansas,5,2020,2020,Male,M,11,1486856,Unreliable
,California,6,2013,2013,Female,F,82,19268325,0.4
,California,6,2013,2013,Male,M,404,19064196,2.1
,California,6,2014,2014,Female,F,91,19533596,0.5
,California,6,2014,2014,Male,M,470,19268904,2.4
,California,6,2015,2015,Female,F,131,19701750,0.7
,California,6,2015,2015,Male,M,462,19443068,2.4
,California,6,2016,2016,Female,F,107,19756656,0.5
,California,6,2016,2016,Male,M,480,19493361,2.5
,California,6,2017,2017,Female,F,130,19889100,0.7
,California,6,2017,2017,Male,M,585,19647553,3
,California,6,2018,2018,Female,F,153,19893468,0.8
,California,6,2018,2018,Male,M,625,19663577,3.2
,California,6,2019,2019,Female,F,197,19867369,1
,California,6,2019,2019,Male,M,767,19644854,3.9
,California,6,2020,2020,Female,F,187,19790589,0.9
,California,6,2020,2020,Male,M,815,19577489,4.2
,Colorado,8,2013,2013,Female,F,25,2621921,1
,Colorado,8,2013,2013,Male,M,95,2646446,3.6
,Colorado,8,2014,2014,Female,F,29,2664707,1.1
,Colorado,8,2014,2014,Male,M,127,2691159,4.7
,Colorado,8,2015,2015,Female,F,35,2712811,1.3
,Colorado,8,2015,2015,Male,M,124,2743763,4.5
,Colorado,8,2016,2016,Female,F,54,2754727,2
,Colorado,8,2016,2016,Male,M,180,2785818,6.5
,Colorado,8,2017,2017,Female,F,50,2784821,1.8
,Colorado,8,2017,2017,Male,M,174,2822333,6.2
,Colorado,8,2018,2018,Female,F,45,2827696,1.6
,Colorado,8,2018,2018,Male,M,188,2867868,6.6
,Colorado,8,2019,2019,Female,F,44,2857388,1.5
,Colorado,8,2019,2019,Male,M,171,2901348,5.9
,Colorado,8,2020,2020,Female,F,53,2881832,1.8
,Colorado,8,2020,2020,Male,M,167,2925887,5.7
,Connecticut,9,2013,2013,Female,F,54,1841929,2.9
,Connecticut,9,2013,2013,Male,M,173,1754151,9.9
,Connecticut,9,2014,2014,Female,F,77,1842128,4.2
,Connecticut,9,2014,2014,Male,M,222,1754549,12.7
,Connecticut,9,2015,2015,Female,F,72,1839139,3.9
,Connecticut,9,2015,2015,Male,M,318,1751747,18.2
,Connecticut,9,2016,2016,Female,F,95,1830837,5.2
,Connecticut,9,2016,2016,Male,M,355,1745615,20.3
,Connecticut,9,2017,2017,Female,F,89,1836384,4.8
,Connecticut,9,2017,2017,Male,M,336,1751800,19.2
,Connecticut,9,2018,2018,Female,F,68,1829270,3.7
,Connecticut,9,2018,2018,Male,M,270,1743395,15.5
,Connecticut,9,2019,2019,Female,F,73,1825870,4
,Connecticut,9,2019,2019,Male,M,266,1739417,15.3
,Connecticut,9,2020,2020,Female,F,42,1822086,2.3
,Connecticut,9,2020,2020,Male,M,167,1734920,9.6
,Delaware,10,2013,2013,Female,F,Suppressed,477802,Suppressed
,Delaware,10,2013,2013,Male,M,35,447947,7.8
,Delaware,10,2014,2014,Female,F,Suppressed,482925,Suppressed
,Delaware,10,2014,2014,Male,M,45,452689,9.9
,Delaware,10,2015,2015,Female,F,19,488125,Unreliable
,Delaware,10,2015,2015,Male,M,45,457809,9.8
,Delaware,10,2016,2016,Female,F,16,491395,Unreliable
,Delaware,10,2016,2016,Male,M,40,460670,8.7
,Delaware,10,2017,2017,Female,F,30,496425,6
,Delaware,10,2017,2017,Male,M,91,465514,19.5
,Delaware,10,2018,2018,Female,F,36,499244,7.2
,Delaware,10,2018,2018,Male,M,107,467927,22.9
,Delaware,10,2019,2019,Female,F,27,502971,5.4
,Delaware,10,2019,2019,Male,M,82,470793,17.4
,Delaware,10,2020,2020,Female,F,27,510069,5.3
,Delaware,10,2020,2020,Male,M,64,476740,13.4
,District of Columbia,11,2013,2013,Female,F,Suppressed,340199,Suppressed
,District of Columbia,11,2013,2013,Male,M,29,306250,9.5
,District of Columbia,11,2014,2014,Female,F,Suppressed,346293,Suppressed
,District of Columbia,11,2014,2014,Male,M,29,312600,9.3
,District of Columbia,11,2015,2015,Female,F,15,353627,Unreliable
,District of Columbia,11,2015,2015,Male,M,52,318601,16.3
,District of Columbia,11,2016,2016,Female,F,31,357940,8.7
,District of Columbia,11,2016,2016,Male,M,91,323230,28.2
,District of Columbia,11,2017,2017,Female,F,41,364773,11.2
,District of Columbia,11,2017,2017,Male,M,86,329199,26.1
,District of Columbia,11,2018,2018,Female,F,19,369148,Unreliable
,District of Columbia,11,2018,2018,Male,M,60,333307,18
,District of Columbia,11,2019,2019,Female,F,14,371038,Unreliable
,District of Columbia,11,2019,2019,Male,M,71,334711,21.2
,District of Columbia,11,2020,2020,Female,F,25,374884,6.7
,District of Columbia,11,2020,2020,Male,M,61,337932,18.1
,Florida,12,2013,2013,Female,F,25,9990213,0.3
,Florida,12,2013,2013,Male,M,156,9562647,1.6
,Florida,12,2014,2014,Female,F,73,10170011,0.7
,Florida,12,2014,2014,Male,M,271,9723286,2.8
,Florida,12,2015,2015,Female,F,133,10368733,1.3
,Florida,12,2015,2015,Male,M,434,9902539,4.4
,Florida,12,2016,2016,Female,F,152,10542288,1.4
,Florida,12,2016,2016,Male,M,517,10070151,5.1
,Florida,12,2017,2017,Female,F,197,10727581,1.8
,Florida,12,2017,2017,Male,M,510,10256819,5
,Florida,12,2018,2018,Female,F,163,10887548,1.5
,Florida,12,2018,2018,Male,M,526,10411777,5.1
,Florida,12,2019,2019,Female,F,178,10980681,1.6
,Florida,12,2019,2019,Male,M,520,10497056,5
,Florida,12,2020,2020,Female,F,159,11113132,1.4
,Florida,12,2020,2020,Male,M,480,10620180,4.5
,Georgia,13,2013,2013,Female,F,13,5110806,Unreliable
,Georgia,13,2013,2013,Male,M,54,4881361,1.1
,Georgia,13,2014,2014,Female,F,23,5170356,0.4
,Georgia,13,2014,2014,Male,M,130,4926987,2.6
,Georgia,13,2015,2015,Female,F,49,5234978,0.9
,Georgia,13,2015,2015,Male,M,173,4979882,3.5
,Georgia,13,2016,2016,Female,F,40,5289906,0.8
,Georgia,13,2016,2016,Male,M,186,5020465,3.7
,Georgia,13,2017,2017,Female,F,55,5353872,1
,Georgia,13,2017,2017,Male,M,208,5075507,4.1
,Georgia,13,2018,2018,Female,F,75,5404059,1.4
,Georgia,13,2018,2018,Male,M,224,5115416,4.4
,Georgia,13,2019,2019,Female,F,60,5456999,1.1
,Georgia,13,2019,2019,Male,M,238,5160424,4.6
,Georgia,13,2020,2020,Female,F,106,5508468,1.9
,Georgia,13,2020,2020,Male,M,289,5201549,5.6
,Hawaii,15,2013,2013,Female,F,Suppressed,694440,Suppressed
,Hawaii,15,2013,2013,Male,M,Suppressed,709614,Suppressed
,Hawaii,15,2014,2014,Female,F,Suppressed,701462,Suppressed
,Hawaii,15,2014,2014,Male,M,10,718099,Unreliable
,Hawaii,15,2015,2015,Female,F,Suppressed,706231,Suppressed
,Hawaii,15,2015,2015,Male,M,12,725372,Unreliable
,Hawaii,15,2016,2016,Female,F,Suppressed,710942,Suppressed
,Hawaii,15,2016,2016,Male,M,17,717615,Unreliable
,Hawaii,15,2017,2017,Female,F,Suppressed,Suppressed,Unreliable
,Hawaii,15,2017,2017,Male,M,10,716087,Unreliable
,Hawaii,15,2018,2018,Female,F,Suppressed,709489,Suppressed
,Hawaii,15,2018,2018,Male,M,12,711002,Unreliable
,Hawaii,15,2019,2019,Female,F,Suppressed,707832,Suppressed
,Hawaii,15,2019,2019,Male,M,12,708040,Unreliable
,Hawaii,15,2020,2020,Female,F,Suppressed,702640,Suppressed
,Hawaii,15,2020,2020,Male,M,15,704366,Unreliable
,Idaho,16,2013,2013,Female,F,Suppressed,805052,Suppressed
