Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Alabama,1,2013,2013,Female,F,Suppressed,2488375,Suppressed
,Alabama,1,2013,2013,Male,M,23,2345347,1
,Alabama,1,2014,2014,Female,F,21,2499410,0.8
,Alabama,1,2014,2014,Male,M,26,2349967,1.1
,Alabama,1,2015,2015,Female,F,24,2505795,1
,Alabama,1,2015,2015,Male,M,46,2353184,2
,Alabama,1,2016,2016,Female,F,48,2507714,1.9
,Alabama,1,2016,2016,Male,M,109,2355586,4.6
,Alabama,1,2017,2017,Female,F,53,2514911,2.1
,Alabama,1,2017,2017,Male,M,145,2359836,6.1
,Alabama,1,2018,2018,Female,F,49,2523756,1.9
,Alabama,1,2018,2018,Male,M,98,2364115,4.1
,Alabama,1,2019,2019,Female,F,67,2533668,2.6
,Alabama,1,2019,2019,Male,M,146,2369517,6.2
,Alabama,1,2020,2020,Female,F,121,2544566,4.8
,Alabama,1,2020,2020,Male,M,321,2376966,13.5
,Alaska,2,2013,2013,Female,F,Suppressed,349564,Suppressed
,Alaska,2,2013,2013,Male,M,Suppressed,385568,Suppressed
,Alaska,2,2014,2014,Female,F,Suppressed,349436,Suppressed
,Alaska,2,2014,2014,Male,M,Suppressed,387296,Suppressed
,Alaska,2,2015,2015,Female,F,Suppressed,349407,Suppressed
,Alaska,2,2015,2015,Male,M,Suppressed,389025,Suppressed
,Alaska,2,2016,2016,Female,F,Suppressed,353762,Suppressed
,Alaska,2,2016,2016,Male,M,Suppressed,388132,Suppressed
,Alaska,2,2017,2017,Female,F,14,353003,Unreliable
,Alaska,2,2017,2017,Male,M,23,386792,5.9
,Alaska,2,2018,2018,Female,F,Suppressed,352865,Suppressed
,Alaska,2,2018,2018,Male,M,10,384573,Unreliable
,Alaska,2,2019,2019,Female,F,Suppressed,350127,Suppressed
,Alaska,2,2019,2019,Male,M,17,381418,Unreliable
,Alaska,2,2020,2020,Female,F,24,349621,6.9
,Alaska,2,2020,2020,Male,M,45,381537,11.8
,Arizona,4,2013,2013,Female,F,29,3331505,0.9
,Arizona,4,2013,2013,Male,M,23,3295119,0.7
,Arizona,4,2014,2014,Female,F,27,3387637,0.8
,Arizona,4,2014,2014,Male,M,30,3343847,0.9
,Arizona,4,2015,2015,Female,F,32,3436575,0.9
,Arizona,4,2015,2015,Male,M,40,3391490,1.2
,Arizona,4,2016,2016,Female,F,36,3488176,1
,Arizona,4,2016,2016,Male,M,87,3442895,2.5
,Arizona,4,2017,2017,Female,F,65,3527969,1.8
,Arizona,4,2017,2017,Male,M,202,3488301,5.8
,Arizona,4,2018,2018,Female,F,149,3606307,4.1
,Arizona,4,2018,2018,Male,M,373,3565339,10.5
,Arizona,4,2019,2019,Female,F,209,3661420,5.7
,Arizona,4,2019,2019,Male,M,587,3617297,16.2
,Arizona,4,2020,2020,Female,F,368,3735475,9.9
,Arizona,4,2020,2020,Male,M,1108,3685926,30.1
,Arkansas,5,2013,2013,Female,F,18,1505782,Unreliable
,Arkansas,5,2013,2013,Male,M,13,1453591,Unreliable
,Arkansas,5,2014,2014,Female,F,18,1509053,Unreliable
,Arkansas,5,2014,2014,Male,M,14,1457316,Unreliable
,Arkansas,5,2015,2015,Female,F,18,1515348,Unreliable
,Arkansas,5,2015,2015,Male,M,26,1462856,1.8
,Arkansas,5,2016,2016,Female,F,14,1520375,Unreliable
,Arkansas,5,2016,2016,Male,M,24,1467873,1.6
,Arkansas,5,2017,2017,Female,F,26,1528215,1.7
,Arkansas,5,2017,2017,Male,M,42,1476064,2.8
,Arkansas,5,2018,2018,Female,F,30,1533682,2
,Arkansas,5,2018,2018,Male,M,62,1480143,4.2
,Arkansas,5,2019,2019,Female,F,37,1536188,2.4
,Arkansas,5,2019,2019,Male,M,78,1481616,5.3
,Arkansas,5,2020,2020,Female,F,73,1543666,4.7
,Arkansas,5,2020,2020,Male,M,122,1486856,8.2
,California,6,2013,2013,Female,F,79,19268325,0.4
,California,6,2013,2013,Male,M,97,19064196,0.5
,California,6,2014,2014,Female,F,83,19533596,0.4
,California,6,2014,2014,Male,M,111,19268904,0.6
,California,6,2015,2015,Female,F,87,19701750,0.4
,California,6,2015,2015,Male,M,142,19443068,0.7
,California,6,2016,2016,Female,F,102,19756656,0.5
,California,6,2016,2016,Male,M,253,19493361,1.3
,California,6,2017,2017,Female,F,133,19889100,0.7
,California,6,2017,2017,Male,M,403,19647553,2.1
,California,6,2018,2018,Female,F,202,19893468,1
,California,6,2018,2018,Male,M,663,19663577,3.4
,California,6,2019,2019,Female,F,371,19867369,1.9
,California,6,2019,2019,Male,M,1304,19644854,6.6
,California,6,2020,2020,Female,F,830,19790589,4.2
,California,6,2020,2020,Male,M,3179,19577489,16.2
,Colorado,8,2013,2013,Female,F,40,2621921,1.5
,Colorado,8,2013,2013,Male,M,27,2646446,1
,Colorado,8,2014,2014,Female,F,41,2664707,1.5
,Colorado,8,2014,2014,Male,M,39,2691159,1.4
,Colorado,8,2015,2015,Female,F,29,2712811,1.1
,Colorado,8,2015,2015,Male,M,35,2743763,1.3
,Colorado,8,2016,2016,Female,F,27,2754727,1
,Colorado,8,2016,2016,Male,M,45,2785818,1.6
,Colorado,8,2017,2017,Female,F,49,2784821,1.8
,Colorado,8,2017,2017,Male,M,63,2822333,2.2
,Colorado,8,2018,2018,Female,F,48,2827696,1.7
,Colorado,8,2018,2018,Male,M,86,2867868,3
,Colorado,8,2019,2019,Female,F,93,2857388,3.3
,Colorado,8,2019,2019,Male,M,162,2901348,5.6
,Colorado,8,2020,2020,Female,F,166,2881832,5.8
,Colorado,8,2020,2020,Male,M,424,2925887,14.5
,Connecticut,9,2013,2013,Female,F,17,1841929,Unreliable
,Connecticut,9,2013,2013,Male,M,36,1754151,2.1
,Connecticut,9,2014,2014,Female,F,39,1842128,2.1
,Connecticut,9,2014,2014,Male,M,55,1754549,3.1
,Connecticut,9,2015,2015,Female,F,49,1839139,2.7
,Connecticut,9,2015,2015,Male,M,162,1751747,9.2
,Connecticut,9,2016,2016,Female,F,115,1830837,6.3
,Connecticut,9,2016,2016,Male,M,385,1745615,22.1
,Connecticut,9,2017,2017,Female,F,148,1836384,8.1
,Connecticut,9,2017,2017,Male,M,538,1751800,30.7
,Connecticut,9,2018,2018,Female,F,167,1829270,9.1
,Connecticut,9,2018,2018,Male,M,600,1743395,34.4
,Connecticut,9,2019,2019,Female,F,214,1825870,11.7
,Connecticut,9,2019,2019,Male,M,736,1739417,42.3
,Connecticut,9,2020,2020,Female,F,260,1822086,14.3
,Connecticut,9,2020,2020,Male,M,882,1734920,50.8
,Delaware,10,2013,2013,Female,F,10,477802,Unreliable
,Delaware,10,2013,2013,Male,M,12,447947,Unreliable
,Delaware,10,2014,2014,Female,F,Suppressed,482925,Suppressed
