"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	13	2385480	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	12	2243501	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	12	2407275	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	10	2287949	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	13	2448159	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	18	2309779	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	17	2459548	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	20	2320188	0.9
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	11	2473249	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	10	2329491	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	13	2338557	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	24	2345347	1.0
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	22	2499410	0.9
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	28	2349967	1.2
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	26	2505795	1.0
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	47	2353184	2.0
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	49	2507714	2.0
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	109	2355586	4.6
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	55	2514911	2.2
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	148	2359836	6.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	49	2523756	1.9
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	101	2364115	4.3
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	68	2533668	2.7
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	147	2369517	6.2
	"Alabama"	"01"	"2020 "	"2020"	"Female"	"F"	122	2544566	4.8
	"Alabama"	"01"	"2020 "	"2020"	"Male"	"M"	328	2376966	13.8
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	16	361893	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	14	353003	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	24	386792	6.2
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	11	352865	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	10	384573	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	21	381418	5.5
	"Alaska"	"02"	"2020 "	"2020"	"Female"	"F"	24	349621	6.9
	"Alaska"	"02"	"2020 "	"2020"	"Male"	"M"	48	381537	12.6
	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	14	2505524	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	12	2631801	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	18	2692038	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	13	2764077	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	11	2746287	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	14	2835606	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	15	2816798	Unreliable
	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	20	2930811	0.7
	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	15	2908266	Unreliable
	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	31	3026134	1.0
	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	25	3003007	0.8
	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	19	3096998	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	20	3070683	0.7
	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	20	3155278	0.6
	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	29	3125084	0.9
	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	32	3189908	1.0
	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	24	3153246	0.8
	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	40	3216194	1.2
	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	32	3175823	1.0
	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	26	3258634	0.8
	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	17	3223871	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"Female"	"F"	16	3294772	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"Male"	"M"	22	3258483	0.7
	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	29	3331505	0.9
	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	23	3295119	0.7
	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	27	3387637	0.8
	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	32	3343847	1.0
	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	33	3436575	1.0
	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	42	3391490	1.2
	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	38	3488176	1.1
	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	89	3442895	2.6
	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	66	3527969	1.9
	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	205	3488301	5.9
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	153	3606307	4.2
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	380	3565339	10.7
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	210	3661420	5.7
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	596	3617297	16.5
