"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	23	2293259	1.0
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	37	2136882	1.7
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	28	2300596	1.2
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	34	2146504	1.6
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	33	2309496	1.4
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	57	2158138	2.6
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	38	2314370	1.6
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	64	2165719	3.0
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	25	2324069	1.1
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	54	2179422	2.5
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	38	2337857	1.6
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	91	2192872	4.1
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	30	2356423	1.3
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	88	2213382	4.0
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	70	2385480	2.9
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	110	2243501	4.9
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	77	2407275	3.2
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	124	2265565	5.5
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	97	2430257	4.0
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	145	2287949	6.3
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	93	2448159	3.8
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	145	2309779	6.3
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	85	2459548	3.5
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	143	2320188	6.2
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	83	2473249	3.4
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	128	2329491	5.5
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	67	2483466	2.7
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	133	2338557	5.7
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	73	2488375	2.9
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	138	2345347	5.9
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	123	2499410	4.9
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	198	2349967	8.4
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	122	2505795	4.9
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	232	2353184	9.9
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	146	2507714	5.8
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	289	2355586	12.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	180	2514911	7.2
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	385	2359836	16.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	172	2523756	6.8
