# state,delta T43_6_2012_2020,delta T43_6_2012_2019,delta T43_6_2019_2020,delta T43_6_2020,                   delta T40_1_2012_2020,delta T40_1_2012_2019,delta T40_1_2019_2020,delta T40_1_2020,                   delta T40_2_2012_2020,delta T40_2_2012_2019,delta T40_2_2019_2020,delta T40_2_2020,                   delta T40_4_2012_2020,delta T40_4_2012_2019,delta T40_4_2019_2020,delta T40_4_2020
Alabama,457,339,200,118,492,436,127,56,96,70,22,26,541,335,285,206
Alaska,177,160,75,17,196,169,67,27,113,84,64,29,69,45,45,24
Arizona,2431,1841,1012,590,1275,1162,283,113,238,170,131,68,1595,833,1148,762
Arkansas,374,295,138,79,28,28,28,0,-30,-13,-26,-17,191,143,89,48
California,10730,8064,4395,2666,3828,3192,1220,636,2057,1768,533,289,4339,1970,3305,2369
Colorado,1034,746,451,288,972,859,238,113,166,104,42,62,393,134,326,259
Connecticut,185,157,85,28,1595,1468,321,127,418,369,131,49,2417,1791,1152,626
Delaware,32,20,32,12,392,355,92,37,180,146,34,34,604,468,307,136
Florida,1619,1031,950,588,2435,2110,667,325,1624,1382,527,242,6731,4401,3676,2330
Georgia,1027,805,410,222,1143,958,368,185,305,260,92,45,1086,722,540,364
Hawaii,609,496,214,113,0,0,0,0,118,118,0,0,33,0,33,33
Idaho,286,243,87,43,119,92,55,27,-29,-26,-8,-3,38,23,38,15
Illinois,699,484,354,215,4085,3518,1065,567,628,468,290,160,3984,2733,2058,1251
Indiana,936,592,524,344,980,897,186,83,435,306,195,129,1831,1097,1094,734
Iowa,496,409,166,87,270,231,74,39,46,43,17,3,233,167,108,66
Kansas,460,382,178,78,110,83,61,27,-16,-18,-20,2,260,203,115,57
Kentucky,915,574,505,341,872,804,145,68,563,453,148,110,1852,1193,950,659
Louisiana,538,331,293,207,725,597,238,128,170,95,99,75,711,390,452,321
Maine,153,101,67,52,307,264,83,43,197,190,38,7,782,606,307,176
Maryland,226,165,90,61,1806,1738,175,68,1062,944,254,118,4523,3424,2032,1099
Massachusetts,284,218,111,66,2026,1926,308,100,650,569,158,81,5252,4308,1927,944
Michigan,438,257,267,181,2171,1972,381,199,584,439,229,145,3112,2283,1430,829
Minnesota,605,438,284,167,493,444,96,49,88,82,25,6,544,323,341,221
Mississippi,312,221,145,91,247,194,115,53,66,59,14,7,270,148,174,122
Missouri,1141,818,541,323,1264,1204,169,60,165,148,59,17,1789,1233,909,556
Montana,117,60,67,57,46,22,46,24,20,-3,23,23,23,0,23,23
Nebraska,154,119,71,35,0,0,0,0,21,21,-22,0,12,0,12,12
Nevada,1039,852,363,187,471,406,124,65,-13,-23,34,10,199,71,165,128
New Hampshire,91,66,42,25,213,213,0,0,85,85,-20,0,1069,922,298,147
New Jersey,366,272,205,94,3610,3204,957,406,819,744,167,75,4817,3548,2376,1269
New Mexico,691,547,278,144,710,625,183,85,162,147,33,15,233,111,171,122
New York,698,519,314,179,5548,4807,1363,741,1978,1646,537,332,6833,4892,3138,1941
North Carolina,657,435,352,222,1764,1542,479,222,505,445,111,60,3025,2014,1638,1011
North Dakota,75,47,52,28,0,0,0,0,0,0,0,0,22,0,22,22
Ohio,1449,981,815,468,3803,3678,345,125,978,889,141,89,6962,5307,2900,1655
Oklahoma,945,777,324,168,311,274,72,37,-47,-46,0,-1,91,49,65,42
Oregon,669,535,275,134,611,516,171,95,-5,-37,29,32,257,176,129,81
Pennsylvania,852,499,544,353,3102,2690,820,412,1316,1165,305,151,5709,4075,2840,1634
Rhode Island,26,0,26,26,219,219,0,0,227,197,58,30,667,505,258,162
South Carolina,559,400,296,159,552,448,201,104,346,260,145,86,1155,678,685,477
South Dakota,48,25,48,23,0,0,0,0,0,0,0,0,25,0,25,25
Tennessee,990,616,599,374,897,789,264,108,460,354,188,106,1864,1081,1225,783
Texas,3266,2501,1369,765,2922,2501,827,421,346,260,168,86,796,354,593,442
Utah,594,503,213,91,693,623,124,70,316,316,16,0,108,63,73,45
Vermont,0,0,0,0,203,170,60,33,-24,-24,0,0,233,164,109,69
Virginia,395,244,219,151,1746,1516,458,230,328,273,84,55,2264,1545,1104,719
Washington,1557,1236,565,321,1309,1118,351,191,22,-15,56,37,585,290,425,295
West Virginia,863,547,485,316,652,588,114,64,660,551,144,109,1466,1001,682,465
Wisconsin,364,240,215,124,1308,1177,253,131,324,258,111,66,1260,790,739,470
Wyoming,80,49,60,31,0,0,0,0,21,0,21,21,0,0,0,0
District of Columbia,0,0,0,0,390,354,110,36,107,86,21,21,512,368,260,144
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
