# state,sum T43_6_2012_2020 male,sum T43_6_2012_2019 male,sum T43_6_2019_2020 male,sum T43_6_2020 male,                   sum T43_6_2012_2020 female,sum T43_6_2012_2019 female,sum T43_6_2019_2020 female,sum T43_6_2020 female,                   sum T40_1_2012_2020 male,sum T40_1_2012_2019 male,sum T40_1_2019_2020 male,sum T40_1_2020 male,                   sum T40_1_2012_2020 female,sum T40_1_2012_2019 female,sum T40_1_2019_2020 female,sum T40_1_2020 female,                   sum T40_2_2012_2020 male,sum T40_2_2012_2019 male,sum T40_2_2019_2020 male,sum T40_2_2020 male,                   sum T40_2_2012_2020 female,sum T40_2_2012_2019 female,sum T40_2_2019_2020 female,sum T40_2_2020 female,                   sum T40_4_2012_2020 male,sum T40_4_2012_2019 male,sum T40_4_2019_2020 male,sum T40_4_2020 male,                   sum T40_4_2012_2020 female,sum T40_4_2012_2019 female,sum T40_4_2019_2020 female,sum T40_4_2020 female
Alabama,718,503,379,215,261,164,179,97,731,634,204,97,239,198,77,41,532,456,145,76,436,386,123,50,932,604,475,328,391,269,190,122
Alaska,276,218,116,58,99,58,41,41,196,169,67,27,0,0,0,0,226,197,64,29,113,113,0,0,93,45,69,48,24,0,24,24
Arizona,3716,2826,1529,890,1285,985,517,300,1739,1570,393,169,464,408,110,56,1607,1402,398,205,1369,1232,267,137,2528,1389,1735,1139,933,556,587,377
Arkansas,696,525,283,171,322,230,145,92,28,28,28,0,0,0,0,0,518,477,84,41,548,490,110,58,363,240,202,123,172,97,113,75
California,15932,12075,6403,3857,5202,4011,2008,1191,5025,4191,1620,834,1197,999,400,198,5755,5087,1280,668,3698,3319,747,379,6353,3137,4536,3216,2014,1167,1231,847
Colorado,1767,1310,749,457,733,564,298,169,1325,1156,344,169,353,297,106,56,1207,1037,289,170,1041,933,247,108,931,500,595,431,538,366,269,172
Connecticut,218,157,118,61,33,0,33,33,2195,2026,437,169,600,558,116,42,969,835,281,134,551,466,150,85,3417,2529,1631,888,1000,738,479,262
Delaware,53,20,53,33,21,0,21,21,512,448,146,64,120,93,54,27,254,220,61,34,74,74,27,0,958,708,507,250,354,240,200,114
Florida,2920,1908,1648,1012,1301,877,698,424,3528,3043,1008,485,1093,933,341,160,5262,4570,1397,692,3638,3188,870,450,10791,7232,5661,3559,4060,2831,1985,1229
Georgia,1918,1489,762,429,891,684,352,207,1554,1263,535,291,411,305,167,106,2027,1773,473,254,1722,1513,381,209,2056,1417,940,639,970,695,400,275
Hawaii,842,677,307,165,233,181,93,52,0,0,0,0,0,0,0,0,140,140,0,0,22,22,0,0,33,0,33,33,0,0,0,0
